ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
32,001,0000,320010000021,2,32-001-0000-04,00003,2,02,32001000002101,01,1,1,29,01,2020,0101,032,221,1,,,,,,2
32,001,0000,320010000049,2,32-001-0000-04,00007,2,02,32001000004901,01,1,1,29,04,2019,0102,032,221,3,10,2019,0103,1,01,2
32,001,0000,320010000085,2,32-001-0000-04,00011,3,02,32001000008501,01,1,1,30,12,2019,0101,032,221,1,,,,,,2
32,001,0000,320010000118,2,32-001-0000-04,00016,2,01,32001000011801,01,1,1,34,07,2019,0102,032,221,1,,,,,,2
32,001,0000,320010000121,2,32-001-0000-04,00017,2,01,32001000012101,01,1,1,48,02,2019,0101,032,221,1,,,,,,2
32,001,0000,320010000124,2,32-001-0000-04,00017,2,01,32001000012401,01,1,1,20,09,2017,0101,032,221,1,,,,,,2
32,001,0000,320010000145,2,32-001-0000-04,00021,2,01,32001000014501,01,1,1,53,02,2019,0101,032,221,3,12,2019,0301,1,01,2
32,001,0000,320010000212,2,32-001-0000-04,00029,3,01,32001000021201,01,1,1,46,04,2018,0101,032,221,3,11,2018,0301,1,01,2
32,001,0000,320010000238,2,32-001-0000-04,00031,2,01,32001000023801,01,1,1,29,99,9999,0102,032,221,1,,,,,,2
32,001,0000,320010000242,2,32-001-0000-04,00032,2,01,32001000024201,01,1,1,51,07,2019,0101,032,221,3,01,2020,0301,1,01,2
32,001,0000,320010000273,2,32-001-0000-04,00035,3,01,32001000027301,01,1,1,29,07,2018,0101,032,221,3,10,2018,0301,1,01,2
32,001,0000,320010000288,2,32-001-0000-04,00036,2,01,32001000028801,01,1,1,43,03,2019,0101,032,221,3,11,2019,0301,1,03,2
32,001,0000,320010000294,2,32-001-0000-04,00036,2,01,32001000029401,01,1,3,81,03,2020,0301,032,221,1,,,,,,2
32,001,0000,320010000296,2,32-001-0000-04,00036,2,01,32001000029601,01,1,1,25,08,2019,0101,032,221,3,10,2019,0301,1,03,2
32,001,0000,320010000305,2,32-001-0000-04,00038,2,01,32001000030501,01,1,1,28,05,2016,0101,032,221,3,07,2018,0801,1,04,2
32,001,0000,320010000306,2,32-001-0000-04,00038,2,01,32001000030601,01,1,1,24,04,2018,0101,032,221,3,11,2018,0301,1,01,2
32,001,0000,320010000308,2,32-001-0000-04,00038,2,01,32001000030801,02,1,3,49,10,2019,0101,032,221,3,02,2020,0301,1,02,2
32,001,0000,320010000308,2,32-001-0000-04,00038,2,01,32001000030802,01,1,1,49,10,2019,0101,032,221,3,02,2020,0301,1,01,2
32,001,0000,320010000309,2,32-001-0000-04,00038,2,01,32001000030901,01,1,1,31,08,2019,0101,032,221,3,01,2020,0301,1,01,2
32,001,0000,320010000313,2,32-001-0000-04,00038,2,01,32001000031301,01,1,1,24,03,2019,0101,032,221,3,10,2019,0301,1,01,2
32,001,0000,320010000324,2,32-001-0000-04,00041,2,01,32001000032401,01,1,1,31,03,2019,0101,032,221,3,11,2019,0301,1,01,2
32,001,0000,320010000328,2,32-001-0000-04,00041,2,01,32001000032801,01,1,1,53,04,2019,0101,032,221,3,11,2019,0301,1,01,2
32,001,0000,320010000329,2,32-001-0000-04,00042,2,01,32001000032901,01,1,1,55,07,2019,0101,032,221,3,02,2020,0301,1,01,2
32,001,0000,320010000329,2,32-001-0000-04,00042,2,01,32001000032902,02,1,3,54,07,2019,0101,032,221,3,02,2020,0301,1,02,2
32,001,0000,320010000334,2,32-001-0000-04,00043,2,01,32001000033401,01,1,1,33,10,2015,0101,032,221,3,99,9999,0301,1,01,2
32,001,0000,320010000343,2,32-001-0000-04,00046,4,01,32001000034301,02,1,1,15,10,2015,0102,032,221,3,01,2018,0301,3,,2
32,001,0000,320010000343,2,32-001-0000-04,00046,4,01,32001000034302,03,1,1,17,06,2019,0101,032,221,1,,,,,,2
32,001,0000,320010000388,2,32-001-0000-03,00007,3,01,32001000038801,01,1,1,45,12,2015,0102,032,221,1,,,,,,1
32,001,0000,320010000451,2,32-001-0000-03,00018,3,01,32001000045101,01,1,1,70,12,2015,0102,032,221,3,12,2019,0301,1,01,1
32,001,0000,320010000455,2,32-001-0000-03,00019,2,01,32001000045501,01,1,1,35,02,2019,0101,032,221,1,,,,,,1
32,001,0000,320010000475,2,32-001-0000-03,00025,2,01,32001000047501,01,1,1,34,02,2020,0101,032,221,1,,,,,,1
32,001,0000,320010000476,2,32-001-0000-03,00025,2,01,32001000047601,01,1,1,23,06,2019,0102,032,221,3,99,9999,0102,1,01,1
32,001,0000,320010000496,2,32-001-0000-03,00029,3,01,32001000049601,01,1,1,19,10,2018,0102,032,221,1,,,,,,1
